cell_id,day,donor,cell_type,technology
ee15413cfad4,4,32606,EryP,citeseq
dea01c11bdad,4,13176,EryP,citeseq
9faee1e52a56,2,31800,EryP,citeseq
342e692711a1,4,31800,EryP,citeseq
380f32cf1ca8,3,13176,EryP,citeseq
f741ae3d1a8a,2,13176,EryP,citeseq
6672dd81350f,2,32606,EryP,citeseq
c3f12753ec43,4,32606,EryP,citeseq
33fed871f1b8,2,31800,EryP,citeseq
fbb0d93908be,2,32606,EryP,citeseq
e8a9ce794859,4,31800,EryP,citeseq
77dd64add5ce,3,31800,EryP,citeseq
b4f449cfe4d1,4,31800,EryP,citeseq
4467d3d276f5,4,13176,EryP,citeseq
d15a6cbba8dd,4,31800,EryP,citeseq
c354cc14d3fc,2,31800,EryP,citeseq
b9f76a45c599,2,32606,EryP,citeseq
606be91035f5,4,13176,EryP,citeseq
7b044263ad4d,3,13176,EryP,citeseq
2d60b48a982e,4,13176,EryP,citeseq
faccdf9ba345,3,13176,EryP,citeseq
458313da584c,4,13176,EryP,citeseq
0a9f641deb21,4,13176,EryP,citeseq
5273c999405a,2,32606,EryP,citeseq
12ec059e603a,2,31800,EryP,citeseq
57dc47ef5cf3,4,32606,EryP,citeseq
4b4e59f73dd3,4,31800,EryP,citeseq
5ca9fdc38275,4,32606,EryP,citeseq
4df4c61ebcc5,3,13176,EryP,citeseq
55a89ac8ad7b,4,13176,EryP,citeseq
fdb11cba87d8,4,13176,EryP,citeseq
dedd54ec4194,3,13176,EryP,citeseq
a405a5c0c0c6,2,13176,EryP,citeseq
29c4eb14bd9c,3,32606,EryP,citeseq
d83c91bc7bf5,4,31800,EryP,citeseq
2adaca5c86f7,2,32606,EryP,citeseq
c758b20acfec,4,13176,EryP,citeseq
af657e56f50e,3,32606,EryP,citeseq
c8d470e150b7,2,13176,EryP,citeseq
de02d37adf47,4,31800,EryP,citeseq
7f34eb04c30b,3,32606,EryP,citeseq
735a287403c8,3,32606,EryP,citeseq
2b3725a1bc91,2,31800,EryP,citeseq
6702d1e28887,2,13176,EryP,citeseq
f2ce1abad566,2,13176,EryP,citeseq
46054442d741,3,13176,EryP,citeseq
c6603bcf446c,2,32606,EryP,citeseq
e26fec9fcc97,4,31800,EryP,citeseq
005a8829f293,4,31800,EryP,citeseq
d02f56f7b72d,4,31800,EryP,citeseq
463aca84b79f,3,13176,EryP,citeseq
14ecb29f9ff0,4,32606,EryP,citeseq
50e918a149e5,2,31800,EryP,citeseq
20662f0c1c64,3,13176,EryP,citeseq
4489d690df12,4,32606,EryP,citeseq
25f873f3664d,3,13176,EryP,citeseq
f6ea99c6b318,4,13176,EryP,citeseq
18f06ec038a0,4,31800,EryP,citeseq
8efd0a110093,4,31800,EryP,citeseq
b237d35f83e0,4,32606,EryP,citeseq
719a2012652c,3,13176,EryP,citeseq
2dc10137e0f6,4,31800,EryP,citeseq
e3dbb35a7b4b,3,32606,EryP,citeseq
823fa7a7ce16,4,31800,EryP,citeseq
8014bb9a62d4,4,31800,EryP,citeseq
d14529566ed9,4,13176,EryP,citeseq
78b40d10a542,3,32606,EryP,citeseq
6dfc4e807e8f,4,31800,EryP,citeseq
dff2d1e128fb,3,31800,EryP,citeseq
0e2faafec03a,4,13176,EryP,citeseq
ed72b4c3a93b,2,31800,EryP,citeseq
ab72d90df058,2,13176,EryP,citeseq
47e1b3db5565,4,13176,EryP,citeseq
edc3c064db44,4,31800,EryP,citeseq
f0d0272d3068,3,31800,EryP,citeseq
b2d1eb761427,4,32606,EryP,citeseq
322c96201a5f,2,32606,EryP,citeseq
060935eff0b8,4,13176,EryP,citeseq
d26ec128a130,2,32606,EryP,citeseq
de68afb86caf,3,13176,EryP,citeseq
241bb83822b2,4,31800,EryP,citeseq
a3919bda8b5c,4,13176,EryP,citeseq
3ff157db823d,3,13176,EryP,citeseq
dbc3d8d4a18e,4,32606,EryP,citeseq
b7328d1d30a3,2,32606,EryP,citeseq
b15d577a6d1c,2,13176,EryP,citeseq
1314a6d2e9db,3,13176,EryP,citeseq
8c0026788a25,4,13176,EryP,citeseq
8f2bb05ea32f,3,13176,EryP,citeseq
f2d06026033f,3,32606,EryP,citeseq
c450387eed7f,4,13176,EryP,citeseq
55eed6cc9eae,2,32606,EryP,citeseq
ef19d1eb5706,4,32606,EryP,citeseq
b1f40ee42172,4,13176,EryP,citeseq
6f853eb9cc3e,4,13176,EryP,citeseq
142acff56628,2,13176,EryP,citeseq
6354c5106c66,4,31800,EryP,citeseq
a7782af543db,3,13176,EryP,citeseq
b1c7628630b8,3,32606,EryP,citeseq
2452adb7537e,4,13176,EryP,citeseq
14a0530fc647,3,13176,EryP,citeseq
12cd3616f6ba,3,13176,EryP,citeseq
23704c6822d7,3,32606,EryP,citeseq
1f66e098627b,4,32606,EryP,citeseq
bf59c74f0aeb,4,32606,EryP,citeseq
9fc5cbc2096a,2,32606,EryP,citeseq
9a3f0b74cba1,3,13176,EryP,citeseq
961c8ca64e63,4,31800,EryP,citeseq
1b6eaa61b2a9,2,31800,EryP,citeseq
08c01d044878,3,31800,EryP,citeseq
e946dd90fe2d,4,32606,EryP,citeseq
4c9a75e45ffa,3,13176,EryP,citeseq
984bbbf36416,3,31800,EryP,citeseq
ae5a8f845e0a,3,31800,EryP,citeseq
aa76a38f3e84,2,31800,EryP,citeseq
f76316da5f7a,3,31800,EryP,citeseq
4409029ac39d,3,32606,EryP,citeseq
70d13ba8126b,4,31800,EryP,citeseq
277700e5f468,4,31800,EryP,citeseq
a0445424408c,4,31800,EryP,citeseq
cfad4881ef7c,4,32606,EryP,citeseq
da6ac79c7f10,2,13176,EryP,citeseq
5cd64c881e3d,3,32606,EryP,citeseq
beb521fae9c6,2,31800,EryP,citeseq
01a0d9d9c663,2,31800,EryP,citeseq
604ec26913b6,2,13176,EryP,citeseq
0694c380efcc,3,31800,EryP,citeseq
a37bbd466de7,2,31800,EryP,citeseq
43f41025a7aa,4,13176,EryP,citeseq
3eb2dd7e8973,4,31800,EryP,citeseq
c27e5621d135,4,31800,EryP,citeseq
3ac99c06e828,2,32606,EryP,citeseq
a74ef6574469,4,31800,EryP,citeseq
8c7839c9e9c3,3,13176,EryP,citeseq
fd0ec9ff97c7,3,31800,EryP,citeseq
3deb0220f261,4,31800,EryP,citeseq
1f624916a5c6,3,13176,EryP,citeseq
52a0999af3a8,2,31800,EryP,citeseq
71946a4409a1,4,13176,EryP,citeseq
a6c5be3a5385,4,13176,EryP,citeseq
88eda1f8eb77,2,13176,EryP,citeseq
871db9b48653,2,13176,EryP,citeseq
afa78e92988e,4,31800,EryP,citeseq
ccb9171df37c,4,32606,EryP,citeseq
0ccfccc477c8,4,32606,EryP,citeseq
2569df0bbe5e,4,31800,EryP,citeseq
8c38e1d3b3f2,4,31800,EryP,citeseq
7fde9bf0bd62,2,32606,EryP,citeseq
2ed5d9b427d1,3,32606,EryP,citeseq
d4a32b224a1e,4,13176,EryP,citeseq
53b32b937acd,3,31800,EryP,citeseq
71933c557f06,4,31800,EryP,citeseq
ed995a4aa601,4,31800,EryP,citeseq
401c8c423402,3,32606,EryP,citeseq
4e57f65a6083,4,32606,EryP,citeseq
60a71d249c95,4,32606,EryP,citeseq
b0325b3ccbfb,2,13176,EryP,citeseq
0d05f112b8a8,3,32606,EryP,citeseq
2e8dd18b0604,4,31800,EryP,citeseq
7253781b16bc,3,13176,EryP,citeseq
0cb1cb7e35ae,4,31800,EryP,citeseq
a21de653190c,2,32606,EryP,citeseq
0adf7c19dd60,4,32606,EryP,citeseq
6d0180ab0288,3,31800,EryP,citeseq
ddc1cb43e523,4,13176,EryP,citeseq
39af272b720a,3,13176,EryP,citeseq
99a58aafc681,3,32606,EryP,citeseq
a56b056df0d0,4,32606,EryP,citeseq
0630b4165bd3,3,31800,EryP,citeseq
7c602d6eab1a,3,31800,EryP,citeseq
3f84672357fc,2,32606,EryP,citeseq
b2476b19b958,2,31800,EryP,citeseq
ebdda973d525,4,31800,EryP,citeseq
17e5103947f0,4,32606,EryP,citeseq
fd074db90547,4,31800,EryP,citeseq
2b50097e4ab1,2,32606,EryP,citeseq
25bf2551f689,4,13176,EryP,citeseq
670b2228817b,2,13176,EryP,citeseq
f91b2f326014,3,13176,EryP,citeseq
0d41f598584b,3,31800,EryP,citeseq
5006ce116c03,4,31800,EryP,citeseq
e21abbc70885,2,13176,EryP,citeseq
de14731b63f3,2,13176,EryP,citeseq
7b33907291ea,3,32606,EryP,citeseq
fdfab66fdb04,3,31800,EryP,citeseq
f4fe7607e651,2,13176,EryP,citeseq
b6424fa2658d,2,31800,EryP,citeseq
14096b0fa8fd,2,13176,EryP,citeseq
6906fa3c839c,4,32606,EryP,citeseq
5b5b2062d7fe,4,32606,EryP,citeseq
e0ea9b3000e6,2,32606,EryP,citeseq
62d2f2305e27,3,31800,EryP,citeseq
dbaae8a35a29,4,32606,EryP,citeseq
9d5dc0eb7f2f,4,31800,EryP,citeseq
3a47fe95b739,4,13176,EryP,citeseq
741bac76c30e,4,32606,EryP,citeseq
a66f2613aa7a,3,32606,EryP,citeseq
740decee395d,4,13176,EryP,citeseq
bbdc25e18e3b,4,32606,EryP,citeseq
340cea447a87,4,13176,EryP,citeseq
fb9b0513f843,2,32606,EryP,citeseq
4946256ce0aa,3,13176,EryP,citeseq
067cc5954328,3,32606,EryP,citeseq
2c10d36bd3ce,3,31800,EryP,citeseq
d0f03eb83c3c,3,13176,EryP,citeseq
01a39f5e1a0e,4,13176,EryP,citeseq
a8eb8a1983ad,3,31800,EryP,citeseq
acdff5c0eb8c,2,31800,EryP,citeseq
9129b2a7010b,4,32606,EryP,citeseq
4b407798d948,3,31800,EryP,citeseq
9ef8b7b8cd2a,3,32606,EryP,citeseq
936aebb7fd49,2,31800,EryP,citeseq
2423e6383ef4,2,32606,EryP,citeseq
8d8986bd0f88,4,32606,EryP,citeseq
43732fe80296,3,13176,EryP,citeseq
2bd967c92b40,3,13176,EryP,citeseq
26483ba7eb5e,2,31800,EryP,citeseq
06d3d091ff99,3,32606,EryP,citeseq
e03d0834e479,4,31800,EryP,citeseq
d6b110e88380,4,13176,EryP,citeseq
3b3fb210b3a0,3,31800,EryP,citeseq
b219ddc51c64,4,32606,EryP,citeseq
3315c219983b,3,32606,EryP,citeseq
33ccb9f67168,3,32606,EryP,citeseq
94763a877459,4,13176,EryP,citeseq
da48448d187a,4,32606,EryP,citeseq
d668cbf912d7,3,32606,EryP,citeseq
7a822102df0c,2,13176,EryP,citeseq
c06fdc7b2d63,3,13176,EryP,citeseq
76b111561eaf,3,32606,EryP,citeseq
354c879303b3,4,32606,EryP,citeseq
658fdca16e9d,3,32606,EryP,citeseq
b2ca40e39427,4,13176,EryP,citeseq
22e48b726334,4,13176,EryP,citeseq
324014660950,3,13176,EryP,citeseq
58d678dbd12e,2,13176,EryP,citeseq
bdc85a23f53c,4,32606,EryP,citeseq
a41b2fe5c2b7,3,31800,EryP,citeseq
5478e251ba22,4,31800,EryP,citeseq
043767113b82,2,32606,EryP,citeseq
3deec1139c6f,4,31800,EryP,citeseq
4dee6221c2cf,4,13176,EryP,citeseq
692b7aa560c6,2,31800,EryP,citeseq
d3eb9aa62d2a,4,31800,EryP,citeseq
025bcc24bac9,4,31800,EryP,citeseq
3c3c8f42db2d,3,32606,EryP,citeseq
6fd6c49f7b37,2,13176,EryP,citeseq
aa30f1865568,4,31800,EryP,citeseq
c5adb9fbdb01,4,32606,EryP,citeseq
62cbfa0a27c0,4,32606,EryP,citeseq
ea8027ec6129,4,31800,EryP,citeseq
474538d0fb30,3,13176,EryP,citeseq
9d977162dbee,2,31800,EryP,citeseq
343fcd23f240,4,13176,EryP,citeseq
66d73540a27e,4,32606,EryP,citeseq
9f05e82dd122,2,31800,EryP,citeseq
f5a162ea666e,3,32606,EryP,citeseq
e6536f4d0325,2,32606,EryP,citeseq
829da41470a3,4,32606,EryP,citeseq
9638cbea62a0,3,13176,EryP,citeseq
d282db7f5679,3,13176,EryP,citeseq
21c9603f5319,3,31800,EryP,citeseq
d467811d0aa7,2,31800,EryP,citeseq
96a6aab4702a,4,31800,EryP,citeseq
ffd5c4ffa213,4,31800,EryP,citeseq
4117fb7e0cd9,4,31800,EryP,citeseq
e7f82f2d90c7,3,32606,EryP,citeseq
5b90f032f873,2,13176,EryP,citeseq
f8becbcc64d6,2,31800,EryP,citeseq
19c1a0159c38,4,32606,EryP,citeseq
9668e3f9ccbf,4,31800,EryP,citeseq
fafa939f1fb5,4,13176,EryP,citeseq
2225f078a07e,3,31800,EryP,citeseq
6d3a94646b89,3,32606,EryP,citeseq
8fa775c12145,2,32606,EryP,citeseq
a0757c72a3ed,3,32606,EryP,citeseq
c5fc997813f4,4,31800,EryP,citeseq
33004b8edb77,4,32606,EryP,citeseq
a07d46053f91,4,31800,EryP,citeseq
d9273c4ea767,2,13176,EryP,citeseq
c550f73c6287,4,32606,EryP,citeseq
1e73bb4e48b8,4,31800,EryP,citeseq
b2d5926b7d01,4,32606,EryP,citeseq
73e112694506,3,31800,EryP,citeseq
850d74b1d7b7,4,31800,EryP,citeseq
2d3777ae5390,2,32606,EryP,citeseq
92445776372f,4,31800,EryP,citeseq
88acb15f9718,4,31800,EryP,citeseq
2110034f46f1,4,13176,EryP,citeseq
3b2838cc3981,2,13176,EryP,citeseq
bcdf50a9121c,3,13176,EryP,citeseq
897518094a09,4,32606,EryP,citeseq
4aeb308225c1,2,31800,EryP,citeseq
95c977ee6db8,4,32606,EryP,citeseq
047c5cfd0fe0,4,32606,EryP,citeseq
9377ceb4b3dd,2,31800,EryP,citeseq
f1ccededa618,3,13176,EryP,citeseq
b4e1ef33590f,4,31800,EryP,citeseq
fda82809fa27,4,31800,EryP,citeseq
e388a603fb00,2,32606,EryP,citeseq
31ada8b14323,4,32606,EryP,citeseq
2f1b0b396c27,4,32606,EryP,citeseq
d76f41f7367e,3,31800,EryP,citeseq
9bf94b0834dd,3,31800,EryP,citeseq
d0698808c5bf,4,13176,EryP,citeseq
f330a508b8f0,4,13176,EryP,citeseq
d106e238f88d,4,31800,EryP,citeseq
729db43329c2,4,32606,EryP,citeseq
a24d88d994e5,2,32606,EryP,citeseq
37dcf9cae024,3,13176,EryP,citeseq
732d3e720976,3,32606,EryP,citeseq
cf97a9da4c03,4,32606,EryP,citeseq
c80ee9d10eb2,4,13176,EryP,citeseq
0a0b7f6cb1fc,3,31800,EryP,citeseq
95528e52e48c,3,13176,EryP,citeseq
692a61cab998,4,32606,EryP,citeseq
20d41c1ad2ed,2,32606,EryP,citeseq
49aa9e9ebb39,4,32606,EryP,citeseq
bb6bd24fa87d,3,13176,EryP,citeseq
54f155f57956,4,13176,EryP,citeseq
26a7529b01bd,2,13176,EryP,citeseq
b0eff6d3850b,4,31800,EryP,citeseq
e1bbbc1fbf9b,3,31800,EryP,citeseq
d8b382b5c0a1,4,13176,EryP,citeseq
304ad66d1476,4,13176,EryP,citeseq
acae37938e62,4,31800,EryP,citeseq
4d673ab8abc0,4,13176,EryP,citeseq
5ab74aea18af,4,32606,EryP,citeseq
83bc9225fb69,4,31800,EryP,citeseq
9d3cc0850001,3,31800,EryP,citeseq
7c485f684a94,4,13176,EryP,citeseq
3df66814baf4,4,13176,EryP,citeseq
57734c564ba8,4,13176,EryP,citeseq
65b9aa500c31,2,31800,EryP,citeseq
9d35593a19c5,3,32606,EryP,citeseq
3966f234ebeb,3,31800,EryP,citeseq
dc8e330d5d75,2,32606,EryP,citeseq
943174be2860,4,32606,EryP,citeseq
68a0906c1dd8,3,31800,EryP,citeseq
211b6f99dc26,4,31800,EryP,citeseq
3d8589f87262,2,32606,EryP,citeseq
e70e21690c4b,4,32606,EryP,citeseq
f41de6ee2e4a,2,32606,EryP,citeseq
37631a2e8197,4,31800,EryP,citeseq
c61d981f8cda,2,32606,EryP,citeseq
70f26c11ef4e,2,32606,EryP,citeseq
93bd992898e6,2,13176,EryP,citeseq
92c68912497f,2,31800,EryP,citeseq
f8fd78d43f36,2,32606,EryP,citeseq
229e6fa51de1,2,31800,EryP,citeseq
ef0f436beeaa,2,32606,EryP,citeseq
cf72cbf96442,4,32606,EryP,citeseq
466ff1764376,3,13176,EryP,citeseq
9f0f50dd8381,4,32606,EryP,citeseq
bb0c48f16a52,4,32606,EryP,citeseq
427df5da4c5e,4,13176,EryP,citeseq
674f14fb5fa4,2,31800,EryP,citeseq
9fd88ed43dc9,3,32606,EryP,citeseq
5b03a4fb6cbd,2,13176,EryP,citeseq
dcc90c663bbb,3,13176,EryP,citeseq
cb7bb7f34954,2,32606,EryP,citeseq
421389e798c5,2,13176,EryP,citeseq
859852995441,3,32606,EryP,citeseq
ca7f1bcab463,3,32606,EryP,citeseq
ed4f10ad391b,4,32606,EryP,citeseq
86afe2387ffe,4,31800,EryP,citeseq
6dd62617f78e,4,13176,EryP,citeseq
03917cf80c4d,4,32606,EryP,citeseq
ff0db1344b48,3,31800,EryP,citeseq
2e6086e4157b,3,32606,EryP,citeseq
da4af02def89,4,32606,EryP,citeseq
f543b19bc2e9,4,13176,EryP,citeseq
5360af2d135a,2,32606,EryP,citeseq
99566550f346,3,31800,EryP,citeseq
0f17429e0d30,3,32606,EryP,citeseq
d4ffc1755853,4,31800,EryP,citeseq
bb4c4c12fa0a,2,32606,EryP,citeseq
67e152396aaa,3,31800,EryP,citeseq
1cba86f0d4b9,4,13176,EryP,citeseq
14f531190593,4,13176,EryP,citeseq
1dce5e0c7ed7,4,31800,EryP,citeseq
5c45753729cc,4,13176,EryP,citeseq
d7a5c1bf333d,3,13176,EryP,citeseq
46045f5f25fe,2,13176,EryP,citeseq
92632d8f62eb,2,13176,EryP,citeseq
c24e2a1242a3,4,32606,EryP,citeseq
1af60284a057,2,32606,EryP,citeseq
d7e84fd4f31c,3,13176,EryP,citeseq
b190769e2a6c,3,32606,EryP,citeseq
74240967ed39,4,31800,EryP,citeseq
17180924970b,3,31800,EryP,citeseq
60590fa2f979,4,13176,EryP,citeseq
dc92989dbfd0,3,13176,EryP,citeseq
1bc6e7e1ccae,2,13176,EryP,citeseq
58a191001d1d,4,32606,EryP,citeseq
eccccd997db0,4,13176,EryP,citeseq
f4d7b08795aa,4,31800,EryP,citeseq
f082393da9b0,4,32606,EryP,citeseq
ff228faff7eb,4,31800,EryP,citeseq
8a9d82246b09,3,32606,EryP,citeseq
b8e41899fbbf,4,31800,EryP,citeseq
4246e63e52f5,3,13176,EryP,citeseq
fe5d210877c6,4,13176,EryP,citeseq
40dbd6c9a1aa,4,32606,EryP,citeseq
ae3c216dcf57,3,31800,EryP,citeseq
441d8b82b465,4,13176,EryP,citeseq
66544e342441,3,13176,EryP,citeseq
38eea648ae3a,3,13176,EryP,citeseq
1a45937398ed,2,31800,EryP,citeseq
5c41a616d67f,4,31800,EryP,citeseq
8954e04ac42c,4,31800,EryP,citeseq
0e8244fa39c3,3,13176,EryP,citeseq
954ad5678578,3,31800,EryP,citeseq
4126c7fa3490,2,31800,EryP,citeseq
0fb2e38e1d25,2,32606,EryP,citeseq
584fab91d6c8,4,32606,EryP,citeseq
77ff6b955a69,4,31800,EryP,citeseq
3924e31fc6c3,4,32606,EryP,citeseq
490785bf27dd,2,32606,EryP,citeseq
18aed7712016,3,31800,EryP,citeseq
f4c30eba4f36,2,32606,EryP,citeseq
fbe17069f62b,3,13176,EryP,citeseq
cbfe42dafb6e,3,13176,EryP,citeseq
2f0b9322837f,4,13176,EryP,citeseq
508025ed6be8,2,31800,EryP,citeseq
9da16fe1ddc2,4,32606,EryP,citeseq
34ed24661e2d,4,31800,EryP,citeseq
fbb478656c04,4,32606,EryP,citeseq
332a7a3a7144,4,31800,EryP,citeseq
2b57ab19527a,3,32606,EryP,citeseq
b1ae923b97d9,3,31800,EryP,citeseq
b1f9c36319d2,4,32606,EryP,citeseq
7ed9b41c51c3,2,13176,EryP,citeseq
3f7afa67d614,4,32606,EryP,citeseq
ce59e8ae43b2,2,32606,EryP,citeseq
b7aa25d02b36,2,13176,EryP,citeseq
3c9155e34646,2,13176,EryP,citeseq
62ee1773dae2,4,32606,EryP,citeseq
6a152528cb50,2,32606,EryP,citeseq
53da33bbf618,4,13176,EryP,citeseq
4d4eaa145da2,3,13176,EryP,citeseq
5a428787b0b3,4,32606,EryP,citeseq
4f78f55d0892,3,13176,EryP,citeseq
34880809c33b,3,13176,EryP,citeseq
46785a0646c4,4,13176,EryP,citeseq
d24d9b1c05ab,3,13176,EryP,citeseq
fead67a9c5b8,4,31800,EryP,citeseq
d87b43a8cdf8,4,32606,EryP,citeseq
ff053e6e31e0,2,32606,EryP,citeseq
1688080ec7df,4,32606,EryP,citeseq
d4f59dd256a3,4,13176,EryP,citeseq
f052988b09c1,2,32606,EryP,citeseq
8667e30ec7fd,4,31800,EryP,citeseq
544cd941014c,4,31800,EryP,citeseq
c0c58cf7965f,2,13176,EryP,citeseq
550e636dff89,4,13176,EryP,citeseq
afc23508a2d9,4,13176,EryP,citeseq
42026f214574,3,13176,EryP,citeseq
2b353eff1b4c,4,32606,EryP,citeseq
07144e061168,2,32606,EryP,citeseq
2c5719486edf,3,32606,EryP,citeseq
5f6b7c36bb2d,4,13176,EryP,citeseq
bc9a087d0c99,3,32606,EryP,citeseq
b0b1d083a64d,2,32606,EryP,citeseq
373241cf3392,4,31800,EryP,citeseq
bf74ff1f1189,2,32606,EryP,citeseq
c98362bb1f18,3,31800,EryP,citeseq
b628f6ebae13,4,31800,EryP,citeseq
828e15ba5a87,4,13176,EryP,citeseq
baf691cd8b6b,2,13176,EryP,citeseq
7e4008601f60,2,32606,EryP,citeseq
3bed5369e338,4,32606,EryP,citeseq
4cbfdf09203b,4,31800,EryP,citeseq
820db64f71cb,4,13176,EryP,citeseq
1f2a8fe36b2f,4,31800,EryP,citeseq
6f504ad3581b,4,32606,EryP,citeseq
5801875c16a7,4,31800,EryP,citeseq
cd7147f2693a,4,32606,EryP,citeseq
ab74b1f82eb8,4,31800,EryP,citeseq
a39cf5ca61f4,2,31800,EryP,citeseq
c304c5070c6b,2,32606,EryP,citeseq
6402320b580e,3,13176,EryP,citeseq
682bd7c1fd1f,2,31800,EryP,citeseq
2cdbf1e67fdf,4,13176,EryP,citeseq
31702b7bb7c5,4,32606,EryP,citeseq
2c75945f9701,4,32606,EryP,citeseq
b9c1af0e9b5f,3,32606,EryP,citeseq
070c2d9c8469,4,32606,EryP,citeseq
357883387200,4,31800,EryP,citeseq
22cfe173f0d8,3,13176,EryP,citeseq
22f31a174b42,3,32606,EryP,citeseq
d183998f22d1,3,31800,EryP,citeseq
5fffff0233f5,4,31800,EryP,citeseq
532cdf96f9e9,2,13176,EryP,citeseq
9feda41d89cf,3,31800,EryP,citeseq
1efa42a74373,4,31800,EryP,citeseq
7d02b3f066c5,3,32606,EryP,citeseq
fd3ad5319eb0,4,31800,EryP,citeseq
84450d0ac86b,4,31800,EryP,citeseq
c001cb53af42,3,31800,EryP,citeseq
2f0e38eb9c4c,4,31800,EryP,citeseq
96cb1d8efbb9,3,31800,EryP,citeseq
da35b70b09b8,2,31800,EryP,citeseq
e8c4a039c9ca,3,13176,EryP,citeseq
0107c775d2df,3,32606,EryP,citeseq
ff2b3f70416f,3,13176,EryP,citeseq
55b0e54367e4,4,31800,EryP,citeseq
0beeb02aeb0a,2,31800,EryP,citeseq
06df40bef908,4,31800,EryP,citeseq
ccaa36bdde40,4,13176,EryP,citeseq
4b80285836f2,2,31800,EryP,citeseq
aecd046deff5,4,32606,EryP,citeseq
95e0f796b451,2,31800,EryP,citeseq
346d617a0899,3,13176,EryP,citeseq
ba92293ef27d,3,13176,EryP,citeseq
df824da67e87,4,31800,EryP,citeseq
7678c1e070d6,4,32606,EryP,citeseq
289d4cbfdd4a,3,31800,EryP,citeseq
cf933472a0a0,4,13176,EryP,citeseq
440c872c9d6b,3,13176,EryP,citeseq
e334db96cb34,4,31800,EryP,citeseq
8c554feb135b,3,32606,EryP,citeseq
